Zeit (ns),Daten (Hex)
1295,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707acd931b9940
1305,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003c75106d1c5e60
1315,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002dce15fd8e0a80
1325,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003ab89ced855020
1335,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003d230aeb3bda20
1345,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033325f03024000
1355,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032b62ac67476e0
1365,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053a889fa6e2b40
1375,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020443ac98e46e0
1385,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000039307f74401340
1395,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002976d052481ee0
1405,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002632831e539180
1415,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000045a1499da66580
1425,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003b64aece3bdfe0
1435,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004cacd806952c20
1445,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001e31144fcec860
1455,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003407eb5714b1c0
1465,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030af92733eda60
1475,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003294c8663e30a0
1485,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000035ac417fae3060
1495,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005974f2a040b4e0
1505,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000258a430c200ae0
1515,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000025c16c12412480
1525,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000035c38e6a6b0660
1535,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003214e90c65d6a0
1545,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015aa8e1df30e60
1555,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000028353afba4ab80
1565,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019df82adff18a0
1575,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002f3fc829911620
1585,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002d80ca82c360e0
1595,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002c9d007492e6c0
1605,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000471aef7082bc40
1615,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006405fa42986ec0
1625,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000422574c60d4600
1635,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003ea474eecd4c40
1645,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000226dcc73062000
1655,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004341cbf7d0b360
1665,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000038597a166e6be0
1675,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000025542037285a20
1685,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003a0e378cb1e0c0
1695,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000308f067f48e640
1705,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000393d4010edf140
1715,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003f2854172595e0
1725,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000413bc824911540
1735,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000413bf1d5c959c0
1745,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000320a2765bced00
1755,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004586fc3cf5f500
1765,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002f6e95e17d6a80
1775,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002147987d008420
